Tipo de Imovel;Cidade;Bairro;Metro Quadrado;Amostra
apartamento;belford roxo;amelia;2000;1
apartamento;belford roxo;andrade araujo;2000;1
apartamento;belford roxo;areia branca;2000;1
apartamento;belford roxo;babi;2720;4
apartamento;belford roxo;belford roxo;0;0
apartamento;belford roxo;boa esperanca;0;0
apartamento;belford roxo;boa ventura;2353;13
apartamento;belford roxo;buriti;0;0
apartamento;belford roxo;centro;0;0
apartamento;belford roxo;ch sto antonio;0;0
apartamento;belford roxo;gracas;0;0
apartamento;belford roxo;heliopolis;0;0
apartamento;belford roxo;hiterland;0;0
apartamento;belford roxo;indeterminado;0;0
apartamento;belford roxo;itaipu;0;0
apartamento;belford roxo;jd almo;0;0
apartamento;belford roxo;jd bom pastor;0;0
apartamento;belford roxo;jd dimas filho;1909;2
apartamento;belford roxo;jd glaucia;0;0
apartamento;belford roxo;jd redentor;0;0
apartamento;belford roxo;jd sta marta;0;0
apartamento;belford roxo;lot xv;0;0
apartamento;belford roxo;lote xv;0;0
apartamento;belford roxo;nova aurora;0;0
apartamento;belford roxo;piam;1969;2
apartamento;belford roxo;pq amorim;2250;1
apartamento;belford roxo;pq esperanca;0;0
apartamento;belford roxo;pq floresta;0;0
apartamento;belford roxo;pq martinho;0;0
apartamento;belford roxo;pq s bernardo;0;0
apartamento;belford roxo;pq s jose;0;0
apartamento;belford roxo;pq s vicente;0;0
apartamento;belford roxo;pq santa amelia;0;0
apartamento;belford roxo;pq saxonia;0;0
apartamento;belford roxo;pq sta amelia;0;0
apartamento;belford roxo;prata;0;0
apartamento;belford roxo;rocha sobrinho;0;0
apartamento;belford roxo;s bernardo;0;0
apartamento;belford roxo;s jorge;0;0
apartamento;belford roxo;sta cecilia;0;0
apartamento;belford roxo;sta maria;0;0
apartamento;belford roxo;sublime;0;0
apartamento;belford roxo;vergel dos felix;0;0
apartamento;belford roxo;vl dagmar;0;0
apartamento;belford roxo;vl entre rios;3444;1
apartamento;belford roxo;vl joao lima;0;0
apartamento;belford roxo;vl madalena;0;0
apartamento;belford roxo;vl medeiros;0;0
apartamento;belford roxo;vl pauline;0;0
apartamento;belford roxo;vl r novo;0;0
apartamento;belford roxo;vl s luis;0;0
apartamento;belford roxo;vl s teodoro;0;0
apartamento;belford roxo;vl sto antonio da prata;0;0
apartamento;belford roxo;vl verde;0;0
apartamento;belford roxo;vl vitorio;0;0
apartamento;cachoeiras de macacu;boca do mato;0;0
apartamento;cachoeiras de macacu;centro;0;0
apartamento;cachoeiras de macacu;indeterminado;0;0
apartamento;cachoeiras de macacu;papucaia;0;0
apartamento;cachoeiras de macacu;zona rural;0;0
apartamento;duque de caxias;barro branco;0;0
apartamento;duque de caxias;centro;0;0
apartamento;duque de caxias;ch arcampo;0;0
apartamento;duque de caxias;ch maria helena;0;0
apartamento;duque de caxias;ch riopetropolis;0;0
apartamento;duque de caxias;chac rio petropolis;0;0
apartamento;duque de caxias;chac riopetropolis;0;0
apartamento;duque de caxias;chacrinha;0;0
apartamento;duque de caxias;circular;0;0
apartamento;duque de caxias;divino;0;0
apartamento;duque de caxias;dr laureano;0;0
apartamento;duque de caxias;engenho do porto;0;0
apartamento;duque de caxias;gramacho;0;0
apartamento;duque de caxias;imbarie;0;0
apartamento;duque de caxias;indeterminado;0;0
apartamento;duque de caxias;itatiaia;0;0
apartamento;duque de caxias;jd 25 de agosto;0;0
apartamento;duque de caxias;jd anhanga;0;0
apartamento;duque de caxias;jd gramacho;0;0
apartamento;duque de caxias;jd imbarie;0;0
apartamento;duque de caxias;jd leal;0;0
apartamento;duque de caxias;jd olavo bilac;0;0
apartamento;duque de caxias;jd olimpo;0;0
apartamento;duque de caxias;jd panama;0;0
apartamento;duque de caxias;jd primavera;0;0
apartamento;duque de caxias;jd vinte e cinco de agosto;0;0
apartamento;duque de caxias;mantiquira;0;0
apartamento;duque de caxias;nova campinas;0;0
apartamento;duque de caxias;pq barao do amapa;0;0
apartamento;duque de caxias;pq beira mar;0;0
apartamento;duque de caxias;pq boa vista i;0;0
apartamento;duque de caxias;pq boa vista ii;0;0
apartamento;duque de caxias;pq capivari;0;0
apartamento;duque de caxias;pq centenario;0;0
apartamento;duque de caxias;pq duque de caxias;0;0
apartamento;duque de caxias;pq eldorado;0;0
apartamento;duque de caxias;pq equitativa;0;0
apartamento;duque de caxias;pq esperanca;0;0
apartamento;duque de caxias;pq felicidade;0;0
apartamento;duque de caxias;pq fluminense;0;0
apartamento;duque de caxias;pq imperio;0;0
apartamento;duque de caxias;pq independencia;0;0
apartamento;duque de caxias;pq joao pessoa;0;0
apartamento;duque de caxias;pq lafaiete;0;0
apartamento;duque de caxias;pq laguna e dourados;0;0
apartamento;duque de caxias;pq muisa;0;0
apartamento;duque de caxias;pq nova esperanca;0;0
apartamento;duque de caxias;pq pauliceia;0;0
apartamento;duque de caxias;pq paulista;0;0
apartamento;duque de caxias;pq senhor do bonfim;0;0
apartamento;duque de caxias;pq sta lucia;0;0
apartamento;duque de caxias;pq uruguaiana;0;0
apartamento;duque de caxias;pq vitoria;0;0
apartamento;duque de caxias;pq xerem;0;0
apartamento;duque de caxias;s bento;0;0
apartamento;duque de caxias;saracuruna;0;0
apartamento;duque de caxias;sarapui;0;0
apartamento;duque de caxias;sta lucia;0;0
apartamento;duque de caxias;sto antonio;0;0
apartamento;duque de caxias;taquara;0;0
apartamento;duque de caxias;v actura;0;0
apartamento;duque de caxias;v s joao;0;0
apartamento;duque de caxias;v s judas tadeu;0;0
apartamento;duque de caxias;v s luis;0;0
apartamento;duque de caxias;v s sebastiao;0;0
apartamento;duque de caxias;v sao luis;0;0
apartamento;duque de caxias;v sta cruz;0;0
apartamento;duque de caxias;v sto antonio;0;0
apartamento;duque de caxias;vl actura;0;0
apartamento;duque de caxias;vl bela vista;0;0
apartamento;duque de caxias;vl canaan;0;0
apartamento;duque de caxias;vl centenario;0;0
apartamento;duque de caxias;vl ema;0;0
apartamento;duque de caxias;vl guanabara;0;0
apartamento;duque de caxias;vl ideal;0;0
apartamento;duque de caxias;vl itamarati;0;0
apartamento;duque de caxias;vl leopoldina;0;0
apartamento;duque de caxias;vl maria helena;0;0
apartamento;duque de caxias;vl meriti;0;0
apartamento;duque de caxias;vl oito de maio;0;0
apartamento;duque de caxias;vl paula;0;0
apartamento;duque de caxias;vl rosario;0;0
apartamento;duque de caxias;vl s luis;0;0
apartamento;duque de caxias;vl s sebastiao;0;0
apartamento;duque de caxias;vl sarapui;0;0
apartamento;duque de caxias;vl sta alice;0;0
apartamento;duque de caxias;vl sta cruz;0;0
apartamento;duque de caxias;xerem;0;0
apartamento;guapimirim;centro;0;0
apartamento;guapimirim;indeterminado;0;0
apartamento;guapimirim;zona rural;0;0
apartamento;itaborai;aldeia da prata (manilha);0;0
apartamento;itaborai;ampliacao;0;0
apartamento;itaborai;areal;0;0
apartamento;itaborai;bela vista;0;0
apartamento;itaborai;bonfim;0;0
apartamento;itaborai;caluge;0;0
apartamento;itaborai;centro;0;0
apartamento;itaborai;ch bela vista;0;0
apartamento;itaborai;gebara (itambi);0;0
